REGION;UNIDAD TERRITORIAL;Rob_vio_o_int;Rob_sor;Rob_fuerza;Rob_vehi;Rob_acc_vehi;Robo_lug_habi;Robo_lug_no_habi;Otros_rob_fuerza;Hurtos;Lesiones;Lesiones_leves;Lesiones_graves;Homicidio;Violacion
5;Algarrobo;130,2083333;71,61458333;3261,71875;58,59375;358,0729167;2343,75;468,75;32,55208333;651,0416667;319,0104167;214,84375;104,1666667;0;6,510416667
13;AlhuÇ;108,6484137;21,72968275;738,8092134;21,72968275;21,72968275;347,6749239;325,9452412;21,72968275;325,9452412;391,1342894;369,4046067;21,72968275;21,72968275;0
8;Alto Biob°o;7,935248373;7,935248373;87,28773211;0;23,80574512;7,935248373;55,54673861;0;134,8992223;206,3164577;119,0287256;87,28773211;0;7,935248373
3;Alto del Carmen;0;0;231,2381753;0;0;84,08660921;147,1515661;0;147,1515661;105,1082615;63,06495691;42,0433046;0;0
1;Alto Hospicio;272,5327719;165,5572913;1194,559533;363,3770291;242,8173606;431,2979692;141,7849623;15,28221151;391,3944169;452,5232629;359,9809821;92,54228079;0;15,28221151
10;Ancud;52,12405525;30,8005781;616,0115621;4,738550477;66,33970668;248,7739001;281,9437534;14,21565143;495,1785249;310,3750563;253,5124505;56,86260573;0;23,69275239
4;Andacollo;117,9554391;78,63695937;891,2188729;0;104,8492792;484,9279161;262,1231979;39,31847969;471,8217562;1009,174312;917,4311927;91,74311927;0;13,1061599
9;Angol;154,0201201;216,4080168;1085,939328;74,08562739;107,2291975;491,3046869;345,0830539;68,23676207;773,999844;415,2694377;341,1838103;74,08562739;3,899243547;11,69773064
12;Ant†rtica;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Antofagasta;246,1272254;138,477641;866,4175561;226,2381567;228,4756769;231,2104239;172,2890578;8,204240847;572,8051791;340,8489152;280,6844823;60,16443288;2,48613359;11,18760115
8;Antuco;83,21775312;0;388,3495146;27,73925104;83,21775312;83,21775312;166,4355062;27,73925104;249,6532594;249,6532594;221,9140083;27,73925104;0;0
8;Arauco;77,01447872;66,01241033;734,9381684;11,00206839;50,60951459;332,2624653;332,2624653;8,801654711;534,7005237;235,4442635;187,0351626;48,40910091;2,200413678;15,40289574
15;Arica;287,5425716;228,6199135;1144,867247;331,1453386;270,4550008;284,0072121;203,2831705;55,97652521;715,9102961;457,239827;299,9163298;157,3234972;1,767679744;27,10442273
