 Calle 18 DE SEPTIEMBRE 1979, Arica, Chile 18 de Septiembre, Ticnamar, Putre, Provincia de Parinacota, Región de Arica y Parinacota, Chile -18.5814965 -69.4938804
 Calle GUILLERMO SANCHEZ 641, Arica, Chile Guillermo Sánchez, Población Nueva Esperanza, Bellavista, Arica, Provincia de Arica, Región de Arica y Parinacota, 10000, Chile -18.4926608 -70.2826108
 Calle GERMAN RIESCO 2016, Arica, Chile German Riesco, Población Maipú Oriente, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1001110, Chile -18.4814702 -70.3016212
 Calle REÑACA 391, Arica, Chile Reñaca, Magisterio, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1001110, Chile -18.4888081 -70.3114008
 Calle RAMON CARNICER PONIENTE 3186, Arica, Chile Ramón Carnicer Poniente, Tierras Blancas, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1020759, Chile -18.4526965 -70.2985859
 Calle MAR CASPIO  203, Arica, Chile Mar Caspio, Las Palmas, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1001110, Chile -18.4948182 -70.3138843
 Calle LUIS BERETTA PORCEL 3080, Arica, Chile Luis Beretta Porcel, Condominio San Marcos, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1020759, Chile -18.4623985 -70.3011288
 Calle JUAN MARTINEZ DE ROZAS  2629, Arica, Chile Juan Martínez de Rozas, Ampliación Olivarera, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1020759, Chile -18.478161 -70.2855448
 Calle MAGALLANES 1766, Arica, Chile Magallanes, Villa Albergue, Chinchorro, Arica, Provincia de Arica, Región de Arica y Parinacota, 1001110, Chile -18.4877357 -70.3009654
 Calle BAQUEDANO  1321, Antofagasta, Chile Calle Baquedano, María Elena, Provincia de Tocopilla, Región de Antofagasta, Chile -22.3454551 -69.6639739
 Calle PEDRO AGUIRRE CERDA 8393, Antofagasta, Chile Pedro Aguirre Cerda, Plaza Villa Carrizo, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1240000, Chile -23.5767397 -70.3912023
 Calle PARAGUAY  215, Antofagasta, Chile Paraguay, Villa Las Condes, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1240000, Chile -23.630788 -70.381115
Calle MAIPÚ  2346, Calama, Chile Maipú, Villa Alemania, Quetena, Calama, Provincia de El Loa, Región de Antofagasta, 234533, Chile -22.4535052 -68.9457188
 Calle REPUBLICA  1131, Taltal, Chile Avenida Cementerio, El Hueso, Taltal, Provincia de Antofagasta, Región de Antofagasta, Chile -25.4031604 -70.4740538
 Calle MANUEL RODRIGUEZ 905, Iquique, Chile Manuel Rodríguez, Condominio 4 Reinas II, Iquique, Provincia de Iquique, Región de Tarapacá, 1100000, Chile -20.2235878 -70.1439859
 Calle ABRAHAM SCHNAIDERMAN 5001 501, Coquimbo, Chile Abraham Schnaiderman, Aires de Santa Mónica, Peñuelas Bajo, Coquimbo, Provincia de Elqui, Región de Coquimbo, 1800009, Chile -29.954969 -71.2862493
 Calle ISLON 3941, La Serena, Chile Islón, Provincia de Elqui, Región de Coquimbo, 1732400, Chile -29.8972504 -71.1852607
 Calle LARRONDO  421, Coquimbo, Chile Larrondo, El Llano, Parte Alta, Coquimbo, Provincia de Elqui, Región de Coquimbo, 1790437, Chile -29.9619107 -71.344514
 Calle MANUEL RODRIGUEZ 99, Coquimbo, Chile Manuel Rodríguez, El Balcón, Illapel, Provincia de Choapa, Región de Coquimbo, Chile -31.6255679 -71.1633718
 Calle COLO COLO 445, Coquimbo, Chile Colo Colo, Potrerillo Bajo, Ovalle, Provincia de Limarí, Región de Coquimbo, Chile -30.6037577 -71.1902488
