Comuna;R0;Codigo comuna;fecha;dia
24 de Diciembre;NA;80821;06-06-2020;2
24 de Diciembre;0;80821;07-06-2020;3
24 de Diciembre;0;80821;08-06-2020;4
24 de Diciembre;0;80821;09-06-2020;5
24 de Diciembre;0;80821;10-06-2020;6
24 de Diciembre;0;80821;11-06-2020;7
24 de Diciembre;0;80821;12-06-2020;8
24 de Diciembre;0;80821;13-06-2020;9
24 de Diciembre;0;80821;14-06-2020;10
24 de Diciembre;0;80821;15-06-2020;11
24 de Diciembre;0;80821;16-06-2020;12
24 de Diciembre;0;80821;17-06-2020;13
24 de Diciembre;0;80821;18-06-2020;14
24 de Diciembre;0;80821;19-06-2020;15
24 de Diciembre;0;80821;20-06-2020;16
24 de Diciembre;0;80821;21-06-2020;17
24 de Diciembre;0;80821;22-06-2020;18
24 de Diciembre;0;80821;23-06-2020;19
24 de Diciembre;0;80821;24-06-2020;20
24 de Diciembre;0;80821;25-06-2020;21
24 de Diciembre;0;80821;26-06-2020;22
Achiote;NA;30202;06-06-2020;2
Achiote;0;30202;07-06-2020;3
Achiote;0;30202;08-06-2020;4
Achiote;0;30202;09-06-2020;5
Achiote;0;30202;10-06-2020;6
Achiote;0;30202;11-06-2020;7
Achiote;0;30202;12-06-2020;8
Achiote;0;30202;13-06-2020;9
Achiote;0;30202;14-06-2020;10
Achiote;0;30202;15-06-2020;11
Achiote;0;30202;16-06-2020;12
Achiote;0;30202;17-06-2020;13
Achiote;0;30202;18-06-2020;14
Achiote;0;30202;19-06-2020;15
Achiote;0;30202;20-06-2020;16
Achiote;0;30202;21-06-2020;17
Achiote;0;30202;22-06-2020;18
Achiote;0;30202;23-06-2020;19
Achiote;0;30202;24-06-2020;20
Achiote;0;30202;25-06-2020;21
Achiote;0;30202;26-06-2020;22
Agua Buena;NA;70313;06-06-2020;2
Agua Buena;0;70313;07-06-2020;3
Agua Buena;0;70313;08-06-2020;4
Agua Buena;0;70313;09-06-2020;5
Agua Buena;0;70313;10-06-2020;6
Agua Buena;0;70313;11-06-2020;7
Agua Buena;0;70313;12-06-2020;8
Agua Buena;0;70313;13-06-2020;9
Agua Buena;0;70313;14-06-2020;10
Agua Buena;0;70313;15-06-2020;11
Agua Buena;0;70313;16-06-2020;12
Agua Buena;0;70313;17-06-2020;13
Agua Buena;0;70313;18-06-2020;14
Agua Buena;0;70313;19-06-2020;15
Agua Buena;0;70313;20-06-2020;16
Agua Buena;0;70313;21-06-2020;17
Agua Buena;0;70313;22-06-2020;18
Agua Buena;0;70313;23-06-2020;19
Agua Buena;0;70313;24-06-2020;20
Agua Buena;0;70313;25-06-2020;21
Agua Buena;0;70313;26-06-2020;22
Agua de Salud;NA;120502;06-06-2020;2
Agua de Salud;0;120502;07-06-2020;3
Agua de Salud;0;120502;08-06-2020;4
Agua de Salud;0;120502;09-06-2020;5
Agua de Salud;0;120502;10-06-2020;6
Agua de Salud;0;120502;11-06-2020;7
Agua de Salud;0;120502;12-06-2020;8
Agua de Salud;0;120502;13-06-2020;9
Agua de Salud;0;120502;14-06-2020;10
Agua de Salud;0;120502;15-06-2020;11
Agua de Salud;0;120502;16-06-2020;12
Agua de Salud;0;120502;17-06-2020;13
Agua de Salud;0;120502;18-06-2020;14
Agua de Salud;0;120502;19-06-2020;15
Agua de Salud;0;120502;20-06-2020;16
Agua de Salud;0;120502;21-06-2020;17
Agua de Salud;0;120502;22-06-2020;18
Agua de Salud;0;120502;23-06-2020;19
Agua de Salud;0;120502;24-06-2020;20
Agua de Salud;0;120502;25-06-2020;21
Agua de Salud;0;120502;26-06-2020;22
Agua Fr°a;NA;50313;06-06-2020;2
Agua Fr°a;0;50313;07-06-2020;3
Agua Fr°a;0;50313;08-06-2020;4
Agua Fr°a;0;50313;09-06-2020;5
Agua Fr°a;0;50313;10-06-2020;6
Agua Fr°a;0;50313;11-06-2020;7
Agua Fr°a;0;50313;12-06-2020;8
Agua Fr°a;0;50313;13-06-2020;9
Agua Fr°a;0;50313;14-06-2020;10
Agua Fr°a;0;50313;15-06-2020;11
Agua Fr°a;0;50313;16-06-2020;12
Agua Fr°a;0;50313;17-06-2020;13
Agua Fr°a;0;50313;18-06-2020;14
Agua Fr°a;0;50313;19-06-2020;15
Agua Fr°a;0;50313;20-06-2020;16
Agua Fr°a;0;50313;21-06-2020;17
Agua Fr°a;0;50313;22-06-2020;18
Agua Fr°a;0;50313;23-06-2020;19
Agua Fr°a;0;50313;24-06-2020;20
Agua Fr°a;0;50313;25-06-2020;21
Agua Fr°a;0;50313;26-06-2020;22
Aguadulce (Cabecera);NA;20101;06-06-2020;2
Aguadulce (Cabecera);0;20101;07-06-2020;3
Aguadulce (Cabecera);0;20101;08-06-2020;4
Aguadulce (Cabecera);0;20101;09-06-2020;5
Aguadulce (Cabecera);0;20101;10-06-2020;6
Aguadulce (Cabecera);0;20101;11-06-2020;7
Aguadulce (Cabecera);0;20101;12-06-2020;8
Aguadulce (Cabecera);-0,38;20101;13-06-2020;9
