;robo_con_vio;robo_con_sor;robo_con_fuerza;robo_de_vehi;Robo_acceso_vehi;robo_lugar_habi;robo_lugar_no_hab;robos_otros;hurtos;lesiones;lesiones_leves;lesiones_graves;violacion;homicidio
Valparaíso;468.413;510.880;1.170.554;168.271;375.178;321.854;280.026;25.225;728.004;421.795;324.409;97.387;23.948;1.916
Viña del Mar;261.458;210.230;1.057.308;193.154;354.116;269.576;218.348;22.115;746.862;330.321;248.021;82.300;24.354;2.519
Isla de Pascua;0;0;309.674;0;0;185.805;111.483;12.387;1.040.505;1.176.762;1.015.731;161.031;49.548;0
Calle Larga;80.710;18.625;776.060;18.625;161.421;403.551;186.254;6.208;235.922;192.463;142.795;49.668;0;0
Los Andes;241.185;91.739;1.075.714;66.585;235.266;359.558;334.404;79.902;732.433;359.558;269.298;90.259;19.236;2.959
Rinconada;108.992;18.165;708.447;90.827;63.579;308.810;236.149;9.083;399.637;272.480;227.066;45.413;0;0
San Esteban;54.251;14.796;660.880;49.319;73.979;286.052;236.733;14.796;290.984;192.346;167.686;24.660;9.864;4.932
Cabildo;72.978;53.518;442.736;24.326;58.383;194.609;165.418;0;204.340;252.992;209.205;43.787;24.326;0
La Ligua;98.901;114.939;620.138;42.768;106.920;267.301;192.457;10.692;416.990;331.453;269.974;61.479;21.384;2.673
Papudo;130.762;0;1.438.379;32.690;163.452;980.713;245.178;16.345;523.047;179.797;130.762;49.036;16.345;0
Petorca;19.057;19.057;181.039;0;0;28.585;152.454;0;171.510;266.794;219.152;47.642;0;0
Zapallar;63.565;12.713;1.004.322;25.426;228.833;419.527;279.685;50.852;826.341;254.259;254.259;0;25.426;0
Hijuelas;84.549;0;486.155;10.569;147.960;110.970;216.656;0;243.078;147.960;89.833;58.127;15.853;0
La Calera;123.832;86.307;510.338;54.411;93.812;136.966;208.263;16.886;315.209;208.263;140.718;67.545;7.505;0
La Cruz;77.349;32.568;492.591;40.710;85.491;154.698;199.479;12.213;191.337;122.130;105.846;16.284;16.284;0
Nogales;85.631;42.816;441.000;29.971;59.942;141.291;205.515;4.282;244.049;231.204;149.854;81.350;8.563;4.282
Quillota;163.015;113.176;955.249;73.720;175.475;329.145;355.103;21.805;506.697;278.268;203.510;74.759;20.766;0
Algarrobo;235.484;47.097;2.960.371;94.194;571.890;1.971.338;302.765;20.184;470.968;403.687;322.950;80.737;26.912;6.728
Cartagena;245.651;92.622;1.868.557;165.110;157.055;1.171.875;358.409;16.108;463.112;442.977;326.192;116.785;32.216;0
El Quisco;264.870;92.129;3.172.684;86.371;431.854;2.360.799;276.386;17.274;760.062;564.289;472.160;92.129;23.032;0
El Tabo;327.682;85.482;2.956.262;163.841;299.188;2.122.810;356.176;14.247;498.647;619.746;520.017;99.729;28.494;0
San Antonio;291.831;143.831;1.232.985;135.493;236.591;368.958;467.972;23.972;570.112;497.155;365.831;131.324;20.845;0
Santo Domingo;59.814;0;1.196.274;34.179;68.359;632.317;461.420;0;247.800;316.158;264.889;51.269;0;0
Catemu;79.878;39.939;419.357;13.313;19.969;199.694;186.381;0;246.289;286.228;232.976;53.252;33.282;0
Llaillay;182.983;68.618;670.936;30.497;129.613;270.662;228.728;11.436;388.838;468.893;358.341;110.552;3.812;3.812
Panquehue;145.637;13.240;542.831;39.719;79.439;211.836;198.597;13.240;436.912;383.953;264.795;119.158;0;0
Putaendo;45.790;17.171;452.178;28.619;11.448;251.846;160.266;0;377.769;280.465;240.398;40.066;11.448;0
San Felipe;224.755;148.217;896.589;43.736;162.795;284.284;355.963;49.810;917.242;392.409;323.161;69.249;19.438;1.215
Santa María;49.536;12.384;885.449;55.728;61.920;414.861;352.941;0;321.981;328.173;253.870;74.303;6.192;0
Limache;115.654;56.812;712.184;103.480;62.899;280.004;225.221;40.580;422.035;330.729;265.801;64.928;10.145;2.029
Olmué;89.729;10.556;522.538;31.669;36.947;316.690;131.954;5.278;242.795;295.577;242.795;52.782;26.391;0
Quilpué;212.401;167.493;872.663;129.868;203.298;251.240;267.018;21.240;438.152;241.530;202.084;39.446;14.565;1.214
Villa Alemana;195.302;103.869;796.571;119.230;117.767;318.921;229.682;10.972;337.939;246.505;202.617;43.888;10.972;0
Cerrillos;1.117.979;266.997;1.217.960;222.687;438.557;210.189;285.175;61.352;522.632;369.251;271.542;97.710;21.587;2.272
Cerro Navia;649.920;90.522;473.826;130.833;69.306;135.076;118.103;20.509;170.436;304.098;200.139;103.959;22.631;3.536
Conchalí;984.967;193.931;714.484;139.980;231.114;131.961;182.995;28.434;306.936;355.055;290.897;64.158;20.414;3.645
El Bosque;760.407;128.290;776.735;237.336;248.415;177.273;97.383;16.328;203.514;346.965;283.403;63.562;19.827;2.333
Estación Central;1.073.348;660.316;1.067.448;254.256;395.331;130.883;254.793;32.184;1.103.387;362.610;270.885;91.725;19.847;4.828
Huechuraba;654.018;166.925;1.107.361;155.979;602.937;114.932;207.972;25.540;452.431;281.857;220.742;61.115;25.540;2.736
Independencia;759.498;239.801;926.047;289.920;292.233;118.744;189.682;35.469;439.506;330.786;255.993;74.793;19.277;2.313
La Cisterna;1.076.020;272.295;1.438.405;363.397;590.141;190.303;249.013;45.551;521.308;356.311;303.674;52.637;23.282;0
La Florida;634.859;179.948;1.095.567;145.420;548.161;196.834;169.111;36.040;394.676;287.312;231.362;55.950;17.390;2.016
La Granja;1.025.691;297.254;746.403;155.977;254.790;172.310;139.644;23.682;278.472;396.884;311.137;85.746;27.766;3.267
La Pintana;706.762;119.207;564.244;193.909;124.505;118.147;114.438;13.245;211.393;428.614;325.831;102.783;28.610;8.477
La Reina;338.271;99.967;1.471.227;139.347;733.089;356.447;173.679;68.664;603.839;220.129;178.728;41.400;15.146;0
Las Condes;185.581;128.669;1.171.944;105.163;654.482;191.767;150.321;70.211;885.531;134.546;110.421;24.126;9.898;0
Lo Barnechea;105.669;28.514;660.852;26.837;344.683;188.695;82.187;18.450;394.163;169.406;135.860;33.546;15.096;0
Lo Espejo;1.023.706;346.381;752.583;155.341;263.404;115.782;170.779;47.278;225.775;416.815;326.119;90.696;28.946;6.754
Lo Prado;754.527;222.091;714.764;148.384;192.026;200.755;146.444;27.155;317.134;382.112;271.552;110.560;16.487;3.879
Macul;592.487;199.284;1.194.938;189.320;567.193;234.542;160.194;43.689;364.843;288.962;235.309;53.653;22.228;0
Maipú;562.944;105.177;716.650;123.883;230.295;173.295;164.118;25.059;241.942;202.236;157.942;44.294;18.177;1.412
Ñuñoa;484.314;185.667;1.675.576;265.002;870.186;247.972;238.003;54.413;512.143;205.190;171.960;33.229;11.630;0,831
Pedro Aguirre Cerda;638.030;205.214;740.637;116.599;303.158;166.970;110.069;43.841;347.932;361.923;295.695;66.228;19.589;2.798
Peñalolén;403.023;108.667;838.837;136.883;334.009;197.508;140.314;30.122;298.550;336.297;273.766;62.531;20.971;1.906
Providencia;807.402;609.922;2.374.293;289.422;1.074.809;349.637;509.563;150.862;2.810.044;377.478;282.947;94.531;18.129;0,647
Pudahuel;889.481;134.489;775.125;107.108;278.240;165.092;194.889;29.797;419.977;322.533;227.504;95.028;22.146;5.235
Quilicura;755.207;110.649;666.360;105.301;209.369;112.705;225.411;13.574;258.317;273.948;213.893;60.055;16.042;2.468
Quinta Normal;1.244.973;186.516;1.245.740;349.237;391.453;191.121;280.925;33.005;360.750;383.777;310.859;72.918;23.794;2.303
Recoleta;1.342.757;499.209;1.075.304;176.288;462.963;130.706;227.363;77.984;656.825;522.824;415.733;107.091;28.558;6.590
Renca;871.992;102.068;711.329;158.143;156.253;167.594;150.582;78.757;216.738;417.725;323.847;93.878;22.682;2.520
San Joaquín;704.715;186.225;973.272;174.464;431.258;157.801;182.305;27.444;355.788;303.841;229.351;74.490;20.583;6.861
San Miguel;918.406;297.411;1.590.952;202.240;912.855;199.860;214.136;61.862;546.444;233.964;193.516;40.448;23.000;2.379
San Ramón;673.825;240.404;695.785;159.499;188.394;187.238;146.785;13.869;301.661;350.204;273.922;76.282;21.960;2.312
Santiago;1.107.761;816.083;1.793.410;299.073;847.510;154.466;401.160;91.201;1.529.051;479.215;377.744;101.471;26.703;2.670
Vitacura;482.876;111.678;1.684.748;251.010;965.752;209.530;207.403;51.053;801.957;135.078;96.788;38.290;7.445;0
Pirque;108.050;43.895;719.206;23.636;192.464;256.618;212.723;33.766;236.359;189.087;151.945;37.142;30.389;0
Puente Alto;510.526;135.452;796.992;134.817;307.903;217.073;117.191;20.008;265.664;278.685;220.249;58.437;18.897;2.223
San José de Maipo;125.855;32.832;1.668.947;93.023;766.074;410.397;399.453;0;552.668;399.453;344.733;54.720;27.360;0
Colina;366.222;88.379;883.208;64.118;338.495;213.726;224.123;42.745;324.055;396.837;311.347;85.490;25.416;2.311
Lampa;510.993;54.308;840.958;87.223;144.000;348.891;242.742;18.103;272.365;368.639;298.697;69.943;23.040;1.646
Tiltil;294.313;28.482;1.053.831;75.952;151.904;389.253;417.735;18.988;246.843;412.988;318.048;94.940;37.976;9.494
Buin;284.149;100.948;999.196;106.556;253.304;372.946;246.761;19.629;355.187;311.256;242.088;69.168;17.759;2.804
Calera de Tango;340.343;57.321;1.185.827;64.486;290.187;480.063;333.178;17.913;404.829;311.683;275.857;35.826;14.330;0
Paine;193.282;33.453;795.431;69.383;123.899;381.608;196.999;23.541;226.735;266.383;211.867;54.515;28.497;6.195
San Bernardo;931.268;185.950;1.181.025;232.133;400.157;253.402;265.556;29.776;364.000;420.514;340.300;80.214;19.446;1.823
Alhué;138.619;13.862;679.235;41.586;13.862;235.653;388.134;0;152.481;291.101;263.377;27.724;13.862;0
Curacaví;215.566;27.996;991.041;95.185;142.777;439.530;305.151;8.399;590.705;389.138;327.548;61.590;19.597;2.800
María Pinto;74.789;6.799;917.868;74.789;61.191;428.338;346.750;6.799;190.373;217.569;163.177;54.392;6.799;0
Melipilla;350.882;155.627;1.146.311;92.944;305.491;322.062;402.758;23.056;417.168;394.833;288.919;105.913;18.733;2.882
San Pedro;145.225;8.543;1.315.565;42.713;8.543;478.387;785.922;0;298.992;187.938;162.310;25.628;0;0
El Monte;152.687;43.261;506.413;43.261;48.351;249.389;162.866;2.545;203.583;211.217;152.687;58.530;2.545;10.179
Isla de Maipo;106.510;25.359;390.536;32.967;43.111;162.301;147.085;5.072;164.837;202.876;144.549;58.327;2.536;0
Padre Hurtado;360.463;34.794;595.669;86.288;132.216;208.762;125.257;43.144;218.505;212.938;175.360;37.577;15.309;2.783
Peñaflor;234.008;78.675;816.001;57.493;192.653;323.778;223.921;18.156;327.813;259.224;205.765;53.459;15.130;1.009
Talagante;136.665;77.029;540.447;43.484;127.968;181.391;150.331;37.272;438.569;275.814;223.633;52.181;14.909;1.242
Codegua;71.870;7.187;991.807;35.935;86.244;431.220;395.285;43.122;495.903;452.781;316.228;136.553;7.187;0
Coinco;51.593;12.898;580.420;0;51.593;257.965;245.066;25.796;257.965;270.863;257.965;12.898;38.695;0
Coltauco;33.379;9.537;391.016;23.842;14.305;166.897;181.203;4.768;271.804;181.203;152.592;28.611;9.537;0
Doñihue;125.084;35.738;670.092;35.738;49.140;227.831;357.382;0;312.709;393.120;335.046;58.075;31.271;0
Graneros;133.519;86.231;884.562;50.070;136.300;333.797;305.981;58.414;628.651;428.373;333.797;94.576;11.127;0
Las Cabras;53.024;26.512;700.678;49.237;22.725;318.146;302.996;7.575;356.020;268.909;189.372;79.536;22.725;7.575
Machalí;87.332;35.960;731.189;23.973;172.951;303.093;215.761;15.411;366.451;238.022;186.650;51.372;11.987;0
Malloa;134.934;28.407;504.226;63.916;63.916;184.646;149.137;42.611;305.376;291.173;213.053;78.119;7.102;0
Mostazal;210.332;73.801;1.394.834;88.561;461.255;302.583;472.325;70.111;900.369;387.454;306.273;81.181;33.210;0
Olivar;103.591;34.530;649.171;41.436;110.497;248.619;241.713;6.906;407.459;290.055;227.901;62.155;13.812;0
Peumo;60.476;33.598;591.318;40.317;26.878;194.866;322.537;6.720;470.367;188.147;141.110;47.037;6.720;0
Pichidegua;19.435;9.718;242.943;9.718;9.718;43.730;174.919;4.859;238.084;126.330;106.895;19.435;0;0
Quinta de Tilcoco;43.709;0;225.832;36.425;14.570;94.704;72.849;7.285;335.106;203.978;174.838;29.140;7.285;0
Rancagua;325.582;171.379;1.177.517;88.934;393.523;289.322;317.949;87.789;631.699;359.935;264.894;95.041;21.375;2.290
Rengo;95.302;39.709;676.642;31.767;63.534;222.370;257.314;101.655;424.092;355.793;284.317;71.476;9.530;1.588
Requínoa;106.945;6.684;648.352;53.472;106.945;183.811;270.704;33.420;374.307;304.124;253.994;50.130;6.684;0
San Vicente;57.981;47.985;563.820;57.981;39.987;215.931;201.935;47.985;435.861;229.926;181.942;47.985;9.997;0
La Estrella;32.185;0;643.708;0;0;225.298;418.410;0;547.152;64.371;64.371;0;32.185;0
Litueche;14.939;14.939;687.183;14.939;14.939;313.714;328.653;14.939;283.836;104.571;104.571;0;14.939;0
Marchigüe;13.191;0;554.017;0;0;303.390;250.627;0;329.772;79.145;52.763;26.382;26.382;13.191
Navidad;14.667;0;674.685;14.667;44.001;440.012;176.005;0;528.014;220.006;176.005;44.001;14.667;0
Paredones;31.481;0;236.109;31.481;15.741;94.444;47.222;47.222;157.406;94.444;78.703;15.741;0;0
Pichilemu;119.427;39.809;1.376.251;28.435;255.914;818.926;250.227;22.748;1.057.780;523.203;398.089;125.114;34.122;0
Chépica;50.582;0;208.649;6.323;37.936;82.195;82.195;0;214.972;139.100;126.454;12.645;12.645;0
Chimbarongo;58.846;26.748;575.082;37.447;85.594;160.488;267.480;24.073;353.073;163.163;123.041;40.122;10.699;0
Lolol;27.674;0;511.969;13.837;13.837;207.555;276.740;0;318.251;83.022;69.185;13.837;13.837;0
Nancagua;63.378;5.282;612.654;10.563;68.660;290.483;237.668;5.282;586.247;242.949;195.416;47.534;10.563;0
Palmilla;45.562;7.594;577.113;7.594;30.374;265.776;265.776;7.594;265.776;129.091;113.904;15.187;15.187;0
Peralillo;25.586;8.529;400.853;8.529;17.058;127.932;238.806;8.529;289.979;247.335;153.518;93.817;0;0
Placilla;43.990;10.997;725.833;43.990;65.985;263.939;329.924;21.995;307.929;230.947;175.960;54.987;21.995;0
Pumanque;28.321;0;538.091;28.321;0;226.565;254.885;28.321;254.885;198.244;141.603;56.641;28.321;0
San Fernando;183.892;111.878;905.315;42.437;219.899;309.916;268.765;64.298;839.731;365.212;273.909;91.303;21.861;1.286
Santa Cruz;73.939;41.899;754.178;12.323;160.201;300.685;266.180;14.788;776.359;280.968;207.029;73.939;12.323;0
Constitución;55.835;25.923;654.064;9.970;97.711;271.197;261.227;13.959;536.412;338.997;253.250;85.746;9.970;1.994
Curepto;0;0;390.419;10.552;10.552;137.174;232.141;0;221.589;242.693;200.485;42.207;10.552;0
Empedrado;23.787;0;285.442;0;0;71.361;190.295;23.787;451.951;237.869;190.295;47.574;0;0
Maule;95.740;22.630;654.516;34.815;128.814;313.332;158.407;19.148;281.999;224.555;182.777;41.778;8.704;1.741
Pelarco;22.274;0;389.798;0;77.960;133.645;178.194;0;345.250;267.290;222.742;44.548;11.137;0
Pencahue;46.669;0;408.354;0;11.667;151.674;233.345;11.667;303.349;210.011;198.343;11.667;11.667;0
Río Claro;34.193;13.677;417.151;0;20.516;191.479;157.286;47.870;177.802;191.479;150.448;41.031;0;0
San Clemente;78.680;24.041;358.431;10.928;21.856;159.545;161.731;4.371;321.276;238.225;187.958;50.268;21.856;4.371
San Rafael;30.534;10.178;610.687;10.178;91.603;254.453;223.919;30.534;641.221;111.959;101.781;10.178;10.178;0
Talca;282.894;185.330;1.105.161;126.961;331.037;315.273;270.113;61.777;1.016.117;385.997;322.090;63.907;18.746;3.408
Cauquenes;56.867;20.472;400.346;18.198;45.494;163.778;163.778;9.099;409.445;177.426;145.580;31.846;18.198;2.275
Chanco;10.722;0;246.596;0;10.722;117.937;117.937;0;214.431;171.545;150.102;21.443;0;0
Pelluhue;37.580;25.053;1.139.922;12.527;87.686;739.071;288.112;12.527;613.804;425.905;288.112;137.793;37.580;0
Curicó;246.863;123.432;1.307.506;50.861;304.547;525.359;356.649;70.089;902.477;320.054;248.104;71.950;14.886;0,62
Hualañé;29.423;0;294.233;19.616;19.616;49.039;205.963;0;255.002;117.693;98.078;19.616;0;0
Licantén;28.682;14.341;516.277;14.341;57.364;186.433;258.139;0;516.277;243.798;229.456;14.341;28.682;0
Molina;91.633;42.762;496.854;30.544;81.451;169.012;177.157;38.689;523.326;175.121;140.504;34.617;16.290;0
Rauco;45.069;18.028;486.750;9.014;63.097;261.403;144.222;9.014;513.791;144.222;117.180;27.042;9.014;0
Romeral;56.440;18.813;533.049;18.813;137.966;156.779;213.220;6.271;495.422;156.779;112.881;43.898;6.271;0
Sagrada Familia;25.842;20.674;454.827;5.168;72.359;175.729;191.234;10.337;315.278;129.212;113.707;15.505;15.505;0
Teno;108.129;16.383;796.225;55.703;101.576;268.685;298.175;72.086;366.985;209.705;173.662;36.043;19.660;0
Vichuquén;22.779;0;341.686;0;0;182.232;159.453;0;387.244;182.232;159.453;22.779;0;0
Colbún;35.908;8.977;426.411;13.466;40.397;201.984;161.587;8.977;345.617;215.450;210.961;4.489;8.977;0
Linares;130.899;101.922;1.050.191;64.950;216.833;430.668;283.781;53.958;722.444;337.740;288.778;48.962;24.981;3.997
Longaví;21.528;3.075;436.708;21.528;46.131;190.675;172.223;6.151;353.672;325.993;292.164;33.829;30.754;3.075
Parral;129.041;36.222;1.009.689;27.167;174.319;337.318;414.290;56.597;708.594;325.998;244.499;81.500;6.792;0
Retiro;66.944;14.345;535.552;33.472;52.599;239.086;210.395;0;215.177;205.614;162.578;43.035;4.782;0
San Javier;100.348;38.911;688.102;26.623;124.923;272.374;241.655;22.527;540.651;217.080;165.882;51.198;28.671;0
Villa Alegre;63.441;17.302;703.616;28.837;57.673;259.531;334.506;23.069;294.135;213.392;161.486;51.906;34.604;0
Yerbas Buenas;42.094;15.785;478.821;5.262;5.262;242.042;215.733;10.524;215.733;226.256;210.471;15.785;36.832;0
Bulnes;66.607;17.762;430.728;0;102.131;142.096;186.501;0;270.870;315.275;239.787;75.488;22.202;0
Chillán;152.398;149.858;925.056;71.119;199.641;372.359;245.869;36.068;649.215;261.617;200.657;60.959;18.288;1.016
Chillán Viejo;93.118;48.061;814.034;51.065;162.206;384.488;210.267;6.008;270.343;183.233;144.183;39.050;21.027;0
El Carmen;24.295;8.098;299.644;8.098;24.295;137.674;113.379;16.197;429.219;259.151;186.265;72.886;8.098;0
Pemuco;81.019;11.574;833.333;11.574;254.630;162.037;347.222;57.870;312.500;312.500;243.056;69.444;11.574;0
Pinto;0;0;721.501;25.465;33.953;415.924;237.671;8.488;254.647;178.253;84.882;93.371;33.953;0
Quillón;80.628;21.501;763.277;91.378;107.504;349.387;204.257;10.750;440.765;215.008;177.381;37.626;10.750;0
San Ignacio;6.025;6.025;271.117;6.025;18.074;114.472;132.546;0;162.670;144.596;120.496;24.099;12.050;0
Yungay;59.463;5.406;962.214;21.623;86.491;529.758;259.473;64.868;324.342;340.559;248.662;91.897;0;0
Cobquecura;0;0;340.845;0;94.679;113.615;132.551;0;397.652;227.230;208.294;18.936;0;0
Coelemu;47.619;0;535.714;53.571;41.667;255.952;184.524;0;261.905;154.762;113.095;41.667;5.952;0
Ninhue;36.894;0;184.468;18.447;18.447;55.340;55.340;36.894;129.127;110.681;73.787;36.894;55.340;0
Portezuelo;0;20.202;161.616;0;20.202;20.202;80.808;40.404;80.808;60.606;40.404;20.202;0;0
Quirihue;32.908;16.454;394.899;0;16.454;148.087;213.904;16.454;361.991;197.450;156.314;41.135;41.135;0
Ránquil;32.062;16.031;512.985;32.062;32.062;272.523;176.339;0;320.616;112.215;96.185;16.031;16.031;0
Treguaco;17.646;17.646;211.752;0;17.646;105.876;88.230;0;105.876;88.230;70.584;17.646;0;0
Coihueco;24.869;21.317;333.961;0;21.317;159.875;152.769;0;191.850;191.850;149.217;42.633;21.317;0
Ñiquén;25.961;8.654;666.321;8.654;155.763;250.952;181.724;69.228;259.605;86.535;86.535;0;8.654;0
San Carlos;110.843;82.238;784.840;39.331;137.660;343.256;232.413;32.180;556.003;218.110;178.779;39.331;19.666;0
San Fabián;21.706;0;629.477;21.706;65.118;238.767;303.885;0;325.591;86.824;43.412;43.412;86.824;21.706
San Nicolás;49.718;16.573;679.483;24.859;82.864;339.741;223.732;8.286;298.310;116.009;91.150;24.859;24.859;0
Chiguayante;155.261;52.855;472.389;61.664;77.080;211.419;113.417;8.809;196.003;243.352;156.362;86.990;7.708;1.101
Concepción;473.326;295.460;1.304.071;178.709;412.633;254.998;391.137;66.594;1.049.916;351.939;252.047;99.892;24.025;2.950
Coronel;275.745;96.190;913.806;79.357;68.135;430.451;320.634;15.230;319.030;343.078;244.483;98.595;16.032;4.008
Florida;42.326;8.465;871.921;76.187;76.187;372.471;296.284;50.792;499.450;364.006;296.284;67.722;16.931;0
Hualpén;292.072;72.244;900.985;161.001;248.725;242.533;222.924;25.801;244.597;219.828;163.065;56.763;24.769;1.032
Hualqui;123.091;23.080;661.615;57.699;50.006;369.273;184.637;0;461.592;215.409;157.711;57.699;11.540;0
Lota;248.957;124.479;891.005;34.941;80.802;417.113;331.943;26.206;286.082;340.678;211.832;128.846;26.206;0
Penco;217.304;80.483;686.117;88.531;108.652;261.569;219.316;8.048;408.451;366.197;261.569;104.628;16.097;0
San Pedro de la Paz;223.062;83.648;630.847;80.163;117.805;287.192;131.746;13.941;264.886;220.274;145.687;74.586;17.427;2.788
Santa Juana;74.713;27.168;937.309;6.792;54.337;509.407;326.021;40.753;543.368;264.892;230.931;33.960;47.545;0
Talcahuano;306.568;111.882;686.460;100.504;171.299;170.667;228.820;15.170;499.358;274.331;206.064;68.267;15.802;2.528
