;robo_con_vio;robo_con_sor;robo_con_fuerza;robo_de_vehi;Robo_acceso_vehi;robo_lugar_habi;robo_lugar_no_hab;robos_otros;hurtos;lesiones;lesiones_leves;lesiones_graves;violacion;homicidio
Arica;272,978;130.304;858.521;195.044;201.229;232.568;182.673;47.008;503.484;370.294;257.309;112.985;25.154;1.649
Camarones;81.433;0;732.899;0;162.866;robo_con_f;244.300;81.433;895.765;488.599;488.599;0;0;0
General Lagos;0;0;496.894;0;0;248.447;248.447;0;372.671;0;0;0;0;0
Putre;0;40.112;200.562;0;80.225;0;120.337;0;561.572;361.011;280.786;80.225;40.112;0
Alto Hospicio;418.043;139.348;1.131.696;258.558;194.925;434.958;203.786;39.468;338.300;366.492;287.555;78.937;21.748;4.833
Iquique;270.190;403.207;995.317;166.733;462.326;131.169;194.907;40.182;729.745;432.305;355.173;77.131;18.936;1.386
Camiña;0;0;0;0;0;0;0;0;223.048;148.699;74.349;74.349;74.349;0
Colchane;0;0;1.028.278;514.139;128.535;128.535;257.069;0;321.337;449.871;257.069;192.802;0;0
Huara;0;0;1.098.147;205.903;34.317;343.171;480.439;34.317;926.561;514.756;480.439;34.317;34.317;0
Pica;87.047;34.819;661.560;17.409;104.457;348.189;191.504;0;504.875;348.189;295.961;52.228;0;0
Pozo Almonte;155.847;65.935;1.444.584;143.859;137.865;821.195;329.677;11.988;947.072;455.554;293.712;161.841;5.994;5.994
Antofagasta;252.059;98.632;817.305;211.145;226.975;166.578;190.201;22.405;471.241;322.441;265.454;56.987;19.483;1.461
Mejillones;176.766;77.777;1.124.231;113.130;190.907;367.673;424.238;28.283;664.640;714.134;516.156;197.978;28.283;0
Sierra Gorda;650.888;59.172;8.934.911;828.402;2.071.006;355.030;5.207.101;473.373;1.715.976;2.071.006;1.775.148;295.858;59.172;0
Taltal;37.394;14.958;635.704;44.873;74.789;157.056;314.113;44.873;501.084;358.986;344.028;14.958;14.958;0
Calama;351.018;201.591;1.581.756;295.051;440.675;448.282;354.822;42.926;506.966;455.889;348.301;107.588;13.584;1.087
Ollagüe;352.113;0;0;0;0;0;0;0;0;704.225;704.225;0;0;0
San Pedro de Atacama;49.935;59.922;928.793;99.870;209.727;169.779;389.494;59.922;968.741;469.390;339.559;129.831;29.961;0
María Elena;59.268;59.268;1.111.276;29.634;44.451;311.157;711.216;14.817;251.889;400.059;311.157;88.902;0;0
Tocopilla;122.926;159.080;712.246;68.694;75.925;347.084;198.850;21.693;520.626;502.549;412.162;90.386;10.846;0
Caldera;276.777;73.111;2.595.436;94.000;255.888;1.550.995;657.998;36.555;819.886;725.886;480.443;245.444;26.111;0
Copiapó;296.116;113.846;1.206.290;126.233;256.595;325.020;409.962;88.481;496.083;369.850;291.397;78.453;21.825;1.180
Tierra Amarilla;232.607;49.341;1.818.566;98.682;119.828;641.432;951.575;7.049;641.432;662.578;493.409;169.169;7.049;0
Chañaral;152.404;53.341;1.242.094;30.481;76.202;617.237;419.111;99.063;1.104.930;464.833;365.770;99.063;7.620;0
Diego de Almagro;34.703;20.822;735.702;20.822;27.762;381.732;284.564;20.822;222.099;270.683;201.277;69.406;6.941;0
Alto del Carmen;0;0;317.069;0;0;158.534;158.534;0;299.454;105.690;105.690;0;0;0
Freirina;39.531;0;448.017;26.354;0;171.301;224.008;26.354;197.654;131.770;92.239;39.531;0;0
Huasco;81.066;18.015;810.665;27.022;36.030;504.414;243.199;0;297.244;315.259;234.192;81.066;0;0
Vallenar;139.714;76.047;838.285;37.139;168.011;304.188;302.419;26.528;454.513;272.354;155.631;116.723;3.537;3.537
Andacollo;85.251;0;673.487;8.525;42.626;358.056;264.280;0;230.179;545.610;451.833;93.777;0;0
Coquimbo;282.928;122.337;1.260.426;96.435;354.657;541.150;240.688;27.496;569.443;405.663;316.800;88.863;11.955;1.195
La Higuera;136.116;22.686;1.701.452;45.372;249.546;476.407;431.034;499.093;340.290;589.837;521.779;68.058;0;0
La Serena;246.959;110.988;1.221.690;107.712;269.484;443.543;349.756;51.194;693.369;330.917;276.447;54.470;15.563;0,41
Paiguano;0;21.529;495.156;0;21.529;150.700;322.928;0;710.441;409.042;365.985;43.057;21.529;0
Vicuña;44.215;40.814;829.876;17.006;115.638;285.695;384.328;27.209;527.175;323.107;244.881;78.226;3.401;0
Canela;115.595;21.017;472.888;10.509;52.543;105.086;178.646;126.103;178.646;126.103;73.560;52.543;0;0
Illapel;137.994;73.597;696.105;39.865;125.728;254.523;245.324;30.665;245.324;272.922;226.924;45.998;18.399;6.133
Los Vilos;139.064;39.112;1.103.820;52.149;121.681;534.527;304.202;91.261;469.341;373.734;265.091;108.644;13.037;4.346
Salamanca;79.939;48.658;271.097;10.427;41.707;100.792;118.170;0;291.951;437.926;319.755;118.170;17.378;0
Combarbalá;36.143;7.229;318.057;0;7.229;137.343;166.257;7.229;260.228;238.543;187.943;50.600;0;7.229
Monte Patria;18.546;12.364;364.738;9.273;27.819;173.096;151.459;3.091;191.642;253.462;194.733;58.729;18.546;0
Ovalle;160.085;100.053;1.062.233;77.541;209.278;422.725;291.822;60.866;516.109;281.817;220.117;61.700;14.174;0
Punitaqui;49.913;24.956;440.895;0;0;241.244;199.651;0;133.100;124.782;108.144;16.638;16.638;0
Río Hurtado;0;0;160.110;22.873;0;22.873;91.491;22.873;343.092;114.364;22.873;91.491;22.873;0
Casablanca;208.899;48.743;1.263.840;104.450;177.564;417.798;557.064;6.963;710.257;435.206;355.128;80.078;17.408;0
Concón;203.896;93.083;1.263.270;172.869;370.116;421.090;277.033;22.163;702.555;257.087;203.896;53.190;15.514;2.216
Juan Fernández;0;0;198.020;0;99.010;99.010;0;0;891.089;198.020;99.010;99.010;0;0
Puchuncaví;187.932;60.951;2.021.536;147.298;386.022;1.117.432;355.547;15.238;726.331;396.180;330.150;66.030;25.396;0
Quintero;254.662;59.421;1.397.810;70.739;282.957;783.792;234.855;25.466;659.291;498.005;365.015;132.990;36.784;0
