Comuna;robo_con_vio;robo_con_sor;robo_con_fuer;robo_vehi;robo_acce_vehi;robo_lugar_h;robo_lugar_nh;robos_con_fuer_otros;hurtos;lesiones;lesiones_lev;lesiones_gra;violacion;homicidio
Algarrobo;235.484088;47.0968176;2960.371392;94.1936352;571.889928;1971.338222;302.765256;20.1843504;470.968176;403.687008;322.9496064;80.7374016;26.9124672;6.7281168
Alhué;138.6193513;13.86193513;679.2348212;41.58580538;13.86193513;235.6528971;388.1341835;0;152.4812864;291.1006376;263.3767674;27.72387025;13.86193513;0
Alto Biobío;14.79289941;14.79289941;221.8934911;0;29.58579882;29.58579882;118.3431953;44.37869822;251.4792899;340.2366864;251.4792899;88.75739645;0;0
