Comuna;robo_con_vio;robo_con_sor;robo_con_fuer;robo_vehi;robo_acce_vehi;robo_lugar_h;robo_lugar_nh;robos_con_fuer_otros;hurtos;lesiones;lesiones_lev;lesiones_gra;violacion;homicidio
Calbuco;65,85807585;35,67312442;277,1527359;2,744086494;16,46451896;109,7634597;145,4365842;2,744086494;436,3097525;296,3613413;211,29466;85,0666813;19,20860546;2,744086494
Caldera;276,7768552;73,11086741;2595,435793;93,99968667;255,8880359;1550,99483;657,9978067;36,5554337;819,8861559;725,8864693;480,442843;245,4436263;26,11102407;0
Calera de Tango;340,3432093;57,32096156;1185,827392;64,48608175;290,1873679;480,0630531;333,1780891;17,91280049;404,829291;311,6827285;275,8571275;35,82560097;14,33024039;0
Calle Larga;80,7102502;18,62544235;776,0600981;18,62544235;161,4205004;403,551251;186,2544235;6,208480785;235,9222698;192,4629043;142,795058;49,66784628;0;0
Camarones;81,43322476;0;732,8990228;0;162,8664495;244,2996743;244,2996743;81,43322476;895,7654723;488,5993485;488,5993485;0;0;0
Camiña;0;0;0;0;0;0;0;0;223,0483271;148,6988848;74,34944238;74,34944238;74,34944238;0
Canela;115,5947877;21,01723413;472,887768;10,50861707;52,54308533;105,0861707;178,6464901;126,1034048;178,6464901;126,1034048;73,56031946;52,54308533;0;0
Cañete;138,5041551;149,3672261;866,3299115;24,44190973;100,4834067;420,9440009;304,1659877;16,29460649;659,9315627;355,7655749;200,9668133;154,7987616;24,44190973;0
Carahue;51,0925955;15,72079862;373,3689671;11,79059896;19,65099827;176,8589844;157,2079862;7,860399308;455,9031599;298,6951737;227,9515799;70,74359377;15,72079862;0
Cartagena;245,6507732;92,62242268;1868,556701;165,1095361;157,0554124;1171,875;358,4085052;16,10824742;463,1121134;442,9768041;326,1920103;116,7847938;32,21649485;0
Casablanca;208,8991017;48,74312374;1263,839565;104,4495509;177,5642365;417,7982035;557,0642713;6,963303391;710,2569459;435,2064619;355,1284729;80,077989;17,40825848;0
Castro;93,19269708;48,71436438;453,2553904;25,41619011;40,24230101;150,3791248;226,6276952;10,59007921;830,2622104;385,4788834;292,2861863;93,19269708;31,77023764;2,118015843
Catemu;79,87752113;39,93876057;419,356986;13,31292019;19,96938028;199,6938028;186,3808826;0;246,2890235;286,2277841;232,9761033;53,25168076;33,28230047;0
Cauquenes;56,86729448;20,47222601;400,3457532;18,19753423;45,49383559;163,7778081;163,7778081;9,098767117;409,4445203;177,4259588;145,5802739;31,84568491;18,19753423;2,274691779
Cerrillos;1117,978549;266,9969097;1217,960371;222,6867842;438,5566261;210,1890565;285,1754227;61,35248137;522,6322487;369,2510453;271,5415379;97,70950736;21,58698418;2,272314125
Cerro Navia;649,920086;90,52205768;473,8263957;130,8326615;69,30595041;135,0758829;118,1029971;20,50890369;170,4360617;304,0975375;200,1386119;103,9589256;22,63051442;3,536017878
Chaitén;0;0;159,9680064;19,9960008;59,9880024;19,9960008;59,9880024;0;239,9520096;99,980004;79,9840032;19,9960008;19,9960008;0
Chanco;10,72156106;0;246,5959044;0;10,72156106;117,9371717;117,9371717;0;214,4312212;171,5449769;150,1018548;21,44312212;0;0
Chañaral;152,4041759;53,34146156;1242,094033;30,48083517;76,20208794;617,2369123;419,1114837;99,06271432;1104,930275;464,8327364;365,7700221;99,06271432;7,620208794;0
Chépica;50,58168943;0;208,6494689;6,322711179;37,93626707;82,19524532;82,19524532;0;214,9721801;139,0996459;126,4542236;12,64542236;12,64542236;0
Chiguayante;155,2606948;52,85470462;472,3889225;61,66382206;77,07977757;211,4188185;113,417387;8,809117437;196,002863;243,3518692;156,3618345;86,99003469;7,707977757;1,10113968
Chile Chico;19,62323391;0;451,3343799;0;39,24646782;117,7394035;294,3485086;0;451,3343799;255,1020408;235,4788069;19,62323391;0;0
Chillán;152,3979823;149,8580159;925,0557523;71,11905838;199,6413567;372,35907;245,8687447;36,06752247;649,2154044;261,6165362;200,6573433;60,9591929;18,28775787;1,015986548
Chillán Viejo;93,11826019;48,06103752;814,033823;51,06485236;162,2060016;384,4883001;210,2670391;6,00762969;270,343336;183,2327055;144,1831126;39,04959298;21,02670391;0
Chimbarongo;58,84555716;26,74798053;575,0815813;37,44717274;85,59353769;160,4878832;267,4798053;24,07318247;353,073343;163,1626812;123,0407104;40,12197079;10,69919221;0
Cholchol;49,0316254;8,171937566;335,0494402;40,85968783;0;163,4387513;106,2351884;24,5158127;245,158127;171,6106889;138,9229386;32,68775027;57,20356296;0
Chonchi;56,57175184;12,57150041;169,7152555;6,285750204;0;50,28600163;106,8577535;6,285750204;232,5727576;251,4300082;220,0012572;31,42875102;25,14300082;0
Cisnes;17,23840717;0;258,5761076;0;17,23840717;68,95362868;155,1456645;17,23840717;482,6754008;379,2449578;327,5297363;51,71522151;34,47681434;0
Cobquecura;0;0;340,844537;0;94,67903806;113,6148457;132,5506533;0;397,6519599;227,2296913;208,2938837;18,93580761;0;0
Cochamó;0;24,90039841;348,6055777;0;24,90039841;149,4023904;149,4023904;24,90039841;273,9043825;124,501992;124,501992;0;24,90039841;0
Cochrane;0;0;273,2240437;0;54,64480874;27,32240437;163,9344262;27,32240437;409,8360656;273,2240437;191,2568306;81,96721311;0;0
Codegua;71,87005893;7,187005893;991,8068133;35,93502947;86,24407072;431,2203536;395,2853241;43,12203536;495,9034066;452,7813713;316,2282593;136,553112;7,187005893;0
Coelemu;47,61904762;0;535,7142857;53,57142857;41,66666667;255,952381;184,5238095;0;261,9047619;154,7619048;113,0952381;41,66666667;5,952380952;0
Coihueco;24,86943546;21,31665897;333,9609905;0;21,31665897;159,8749423;152,7693893;0;191,8499307;191,8499307;149,2166128;42,63331794;21,31665897;0
Coinco;51,59293177;12,89823294;580,4204824;0;51,59293177;257,9646588;245,0664259;25,79646588;257,9646588;270,8628918;257,9646588;12,89823294;38,69469883;0
Colbún;35,90825441;8,977063602;426,4105211;13,4655954;40,39678621;201,9839311;161,5871448;8,977063602;345,6169487;215,4495265;210,9609947;4,488531801;8,977063602;0
Colchane;0;0;1028,277635;514,1388175;128,5347044;128,5347044;257,0694087;0;321,3367609;449,8714653;257,0694087;192,8020566;0;0
Colina;366,2220785;88,3785142;883,2075047;64,1177456;338,4954858;213,7258187;224,1232909;42,74516373;324,0545521;396,8368579;311,3465304;85,49032746;25,4160433;2,310549391
Collipulli;123,0958609;42,31420218;426,9887675;15,38698261;19,23372827;153,8698261;207,7242653;30,77396523;819,3568241;419,2952762;315,4331436;103,8621326;30,77396523;0
Coltauco;33,37942873;9,536979639;391,0161652;23,8424491;14,30546946;166,8971437;181,2026131;4,768489819;271,8039197;181,2026131;152,5916742;28,61093892;9,536979639;0
Combarbalá;36,14283649;7,228567298;318,0569611;0;7,228567298;137,3427787;166,2570479;7,228567298;260,2284227;238,5427208;187,9427497;50,59997109;0;7,228567298
Concepción;473,3263929;295,4601972;1304,071113;178,7091635;412,6327147;254,9977451;391,1370371;66,59445243;1049,916335;351,9390366;252,0473579;99,89167864;24,02458094;2,950387133
Conchalí;984,9666817;193,9312638;714,4836033;139,9804611;231,1135737;131,9607471;182,9952902;28,43353115;306,9363235;355,054607;290,8968956;64,15771132;20,41381724;3,645324507
Concón;203,8961902;93,08304337;1263,269874;172,8685091;370,1159106;421,0899581;277,0328672;22,16262937;702,5553512;257,0865007;203,8961902;53,1903105;15,51384056;2,216262937
Constitución;55,8347292;25,92326713;654,0639706;9,970487357;97,7107761;271,1972561;261,2267688;13,9586823;536,4122198;338,9965702;253,2503789;85,74619127;9,970487357;1,994097471
Contulmo;79,20164739;47,52098844;300,9662601;0;15,84032948;174,2436243;95,04197687;15,84032948;681,1341676;269,2856011;158,4032948;110,8823064;0;15,84032948
Copiapó;296,1162758;113,8455004;1206,290406;126,2328347;256,5947808;325,0200557;409,9617762;88,4809589;496,0832429;369,8504082;291,3972913;78,45311689;21,82530319;1,179746119
Coquimbo;282,9282677;122,336589;1260,425508;96,43470534;354,6565609;541,1501233;240,6882728;27,49584574;569,4429501;405,6633472;316,7999617;88,8633855;11,95471554;1,195471554
Coronel;275,7448719;96,19007158;913,80568;79,35680905;68,13463404;430,4505703;320,6335719;15,23009467;319,0304041;343,077922;244,4830986;98,59482337;16,0316786;4,007919649
Corral;18,36884644;18,36884644;367,3769287;0;18,36884644;146,9507715;165,3196179;36,73769287;293,901543;202,0573108;146,9507715;55,10653931;18,36884644;0
Coyhaique;70,69810266;24,66212883;491,5984348;49,32425767;59,1891092;161,1259084;203,8735984;18,08556115;741,508007;356,7787971;267,9951333;88,78366381;36,17112229;1,644141922
Cunco;16,63893511;5,546311703;615,640599;16,63893511;49,91680532;305,0471436;232,9450915;11,09262341;560,177482;199,6672213;166,3893511;33,27787022;16,63893511;0
Curacautín;27,56795501;0;468,6552352;11,027182;44,10872801;264,6523681;143,353366;5,513591002;413,5193251;209,5164581;170,9213211;38,59513701;11,027182;0
